id,name,description,created_at,updated_at,mark_id,product_type_id,category_id,image_file_name,image_content_type,image_file_size,image_updated_at,outlet,sale,new_collection,copy_desc,old_price,outlet_price
2893,BALTIMORE,Bolso-mochila en eco-piel de la firma CAMINATTA. (V1632082),2018-03-09 19:05:30.650971,2018-03-14 18:25:49.660447,17,15,1,DSCF7778.jpg,image/jpeg,62721,2018-03-09 19:05:27.798784,0,,1,,,
2420,NOCO,Bolso bowling de la firma NOCO en charol-pelo sintético con tira de colgar. (1729265N) y (1729265M). Antes: 51 € - Ahora: 35.70 €,2017-09-08 17:34:03.832282,2018-04-27 11:39:09.629993,47,37,1,DSCF6091.jpg,image/jpeg,68772,2017-09-08 17:34:02.236944,1,,0,,,
3011,PRIVATA,Mochila de la firma Privata en tejido y eco-piel. (P691),2018-04-05 14:37:14.893757,2018-04-05 14:38:33.251008,22,15,1,DSCF8012.jpg,image/jpeg,61229,2018-04-05 14:37:12.328277,0,,1,,,
2734,GIFTY,"Billetero-tarjetero-monedero, en piel con compartimento para documentacion y protector RFID",2017-11-09 18:42:37.778358,2018-04-04 16:29:10.118154,3,2,2,DSCF2432.jpg,image/jpeg,70620,2017-11-09 18:42:35.371106,0,,0,,,
3010,PRIVATA,Bolso bandolera de la firma Privata en tejido. (P633),2018-04-05 14:33:55.162775,2018-04-05 14:36:43.800364,22,38,1,DSCF8011.jpg,image/jpeg,59074,2018-04-05 14:33:54.045955,0,,1,,,
2952,TECHNUM,Maleta-spinner cabina de AMERICAN TOURISTER by Samsonite. (37G001001). Antes: 129 € - Ahora: 103.20 €,2018-03-17 12:25:29.473384,2018-03-17 12:27:43.334599,4,7,3,DSCF7943.jpg,image/jpeg,65059,2018-03-17 12:25:28.542766,1,,0,,,
2858,MOVE BACKP,Mochila en nylon con multi-bolsillos de SAMSONITE ( 88D-014 ). Disponible también en negro y azul marino.,2018-02-09 17:02:52.188871,2018-04-04 16:06:22.541455,3,15,1,DSCF2492.jpg,image/jpeg,65093,2018-02-09 17:02:50.235759,0,,1,,,
2736,KARISSA SWAROVSKI,Mochila femenina en tejido con cristales swaroski y apliques en piel de SAMSONITE disponible en rojo y negro.,2017-11-14 16:37:50.711089,2018-02-02 11:41:08.941328,3,36,1,DSCF2442.jpg,image/jpeg,65708,2017-11-14 16:37:49.558146,0,,1,,,
2951,ANTE,Mochila ante de la firma española ALBERTINI. (ac1963). Antes: 112 € - Ahora: 78.40 €,2018-03-17 10:51:16.52823,2018-04-27 10:56:31.683385,54,15,1,DSCF7939.jpg,image/jpeg,57101,2018-03-17 10:51:14.853486,1,,0,,,
3084,SCORPIO,Bolso drawstring en eco-piel de CAMINATTA. (A4132082). Antes: 62 € - Ahora: 43.40 €,2018-04-27 13:56:25.569048,2018-04-27 14:05:12.104492,17,37,1,DSCF8121.jpg,image/jpeg,63927,2018-04-27 13:56:23.990345,1,,0,,,
2456,NILO,"Bolso bowling de la firma CAMINATTA en eco-piel, con tira larga y bolsillos laterales, delante y detrás. (A475421082). Antes: 67 € - Ahora: 46.90 €",2017-09-12 17:27:55.16191,2018-04-27 13:15:47.388721,17,37,1,DSCF6223.jpg,image/jpeg,64277,2017-09-12 17:27:52.750921,1,,0,,,
3027,HYDRA,Bolso hobo en eco-piel de la firma CAMINATTA. (A141218082). Antes: 55 € - Ahora: 38.50 €,2018-04-18 18:13:40.904929,2018-04-18 18:15:09.349766,17,37,1,DSCF8037.jpg,image/jpeg,69394,2018-04-18 18:13:39.68165,1,,0,,,
3085,SCORPIO,Mochila en eco-piel de CAMINATTA. (A41514082). Antes: 62 € - Ahora: 43.40 €,2018-04-27 14:06:23.729448,2018-04-27 14:08:06.446017,17,37,1,DSCF8124.jpg,image/jpeg,66106,2018-04-27 14:06:21.887945,1,,0,,,
2451,VOLGA,Bolso bandolera de la firma CAMINATTA en eco-piel con bolsillo exterior detrás. (A680017082). Antes: 55 € - Ahora: 38.50 €,2017-09-11 18:07:07.309306,2018-04-27 13:39:22.734811,17,37,1,DSCF6218.jpg,image/jpeg,71834,2017-09-11 18:07:04.213028,1,,0,,,
2856,PLUME,"Bolso de viaje en fibra  combinando con tapa y asas de piel, lleva tira larga de ( P66070008 ). de LIPAULT.Disponible tambien en azul marino.",2018-02-09 12:00:21.804468,2018-02-27 11:56:33.746157,50,10,3,DSCF2497.jpg,image/jpeg,58166,2018-02-27 11:56:09.59226,0,,1,,,
2441,PERSEO,Bolso bandolera de la firma CAMINATTA en eco-piel. (A216018082). Antes: 50 euros - Ahora: 35 euros.,2017-09-11 15:44:29.535882,2017-10-14 14:30:34.045006,17,37,1,DSCF6197.jpg,image/jpeg,71802,2017-09-11 15:44:28.332145,1,,,,,
2890,BALTIMORE,Bolso bandolera en eco-piel de la firma CAMINATTA. (V16111082),2018-03-09 18:59:15.809055,2018-03-09 19:00:36.927693,17,37,1,DSCF7775.jpg,image/jpeg,62184,2018-03-09 18:59:12.359996,0,,1,,,
2496,DANUBIO,Mone-billetera de la firma CAMINATTA en eco-piel. Disponible en negro (A195811082). Antes: 32 € -Ahora: 22.40 €,2017-09-15 15:01:07.077148,2018-04-27 12:43:11.495581,17,2,1,DSCF6309.jpg,image/jpeg,69429,2017-09-15 15:01:02.231378,1,,0,,,
2505,SENA,Mone-billetera de la firma CAMINATTA en eco-piel. (A70095082). Antes: 31 € - Ahora: 21.70 €,2017-09-15 15:29:46.583132,2018-04-27 13:37:11.614226,17,2,1,DSCF6322.jpg,image/jpeg,66423,2017-09-15 15:29:45.851553,1,,0,,,
2495,DANUBIO,Mone-billetera de la firma CAMINATTA en eco-piel. Marrón (A195934082). Burdeos (A195928082). Antes: 32 € - Ahora: 22.40 €,2017-09-15 14:56:54.536609,2018-04-27 12:49:27.94984,17,2,1,DSCF6308.jpg,image/jpeg,71193,2017-09-15 14:56:53.534597,1,,0,,,
2103,MANDALAS,"Billetero-monedero pequeño de la firma AMICHI en piel con tarjetero y portafotos  (105931). Hecho en España. Disponible en azul.
",2016-11-28 20:40:27.457626,2018-01-08 19:32:36.956801,24,2,1,DSCF4340.jpg,image/jpeg,72295,2016-11-28 20:40:26.283733,0,,1,,,
2716,MAHI,Bolso bandolera de la firma HEDGREN en fibra-piel. (HCCH12). Antes: 79 euros - Ahora: 47.40 euros.,2017-11-03 19:24:45.084865,2018-01-30 20:11:10.826079,26,38,1,DSCF6861.jpg,image/jpeg,56650,2017-11-03 19:24:43.623598,1,,0,,,
2793,BAGUETTE,Bolso baguette piel. (0501507OU). Antes: 75 € - Ahora: 52.50 €,2018-01-31 20:32:08.537896,2018-04-27 10:27:53.735377,59,36,1,DSCF7501.jpg,image/jpeg,64362,2018-01-31 20:32:05.832991,1,,0,,,
3012,RUSTIC,Bolso shopping  en piel de la firma ALBERTINI. (AC1940). Antes: 140 € - Ahora: 70 €,2018-04-07 17:46:55.292469,2018-04-07 17:54:07.796626,54,36,1,DSCF8013.jpg,image/jpeg,61530,2018-04-07 17:46:53.975355,1,,0,,,
2691,ZEPPLIN,"Mochila de la firma HEDGREN  en fibra con departamento para ordenador de 15.6"". (HZPR11). Antes: 115 euros - Ahora: 69 euros.",2017-11-03 16:44:15.206611,2018-01-30 19:47:16.372832,26,15,4,DSCF6827.jpg,image/jpeg,63551,2017-11-03 16:44:13.85126,1,,0,,,
2843,FREEMONT,Bolso en piel grabada con asas y tira larga de BIBA ( fre1l ).,2018-02-07 16:14:21.937986,2018-02-08 15:28:16.966821,55,36,1,DSCF2454.jpg,image/jpeg,66915,2018-02-07 16:14:18.629798,0,,1,,,
2899,DENVER,Mochila en eco-piel de la firma CAMINATTA. Roja (V2058082). Tejano (V2059082),2018-03-09 20:01:04.300085,2018-03-09 20:03:10.969458,17,15,1,DSCF7787.jpg,image/jpeg,63959,2018-03-09 20:01:02.200971,0,,1,,,
2896,DETROIT,Bolso-mochila en eco-piel de la firma CAMINATTA. (V14613082),2018-03-09 19:15:10.618466,2018-03-09 20:06:56.633988,17,15,1,DSCF7782.jpg,image/jpeg,64245,2018-03-09 19:15:08.771715,0,,1,,,
2846,DALLAS PYTON,Bolso mochila en piel con la tapa grabada en pyton de BIBA ( dap1l ).,2018-02-07 16:15:36.366124,2018-04-04 16:41:23.85492,55,15,1,DSCF2461.jpg,image/jpeg,58876,2018-02-07 16:15:33.459654,0,,1,,,
3086,SCORPIO,Mochila en eco-piel de CAMINATTA. (A4152082). Antes: 62 € - Ahora: 43.40 €,2018-04-28 10:34:55.086741,2018-04-28 10:38:47.767804,17,37,1,DSCF8125.jpg,image/jpeg,69355,2018-04-28 10:34:53.031819,1,,0,,,
2584,CHAL,Chal de la firma PASSIGATTI  60% acrílico - 40% viscosa. (17211124). Disponible en azul. Antes: 26 € - Ahora: 18.20 €.  ,2017-10-05 13:17:15.361223,2018-04-28 10:48:33.664228,21,4,1,DSCF6562.jpg,image/jpeg,73003,2017-10-05 13:17:13.913431,1,,0,,,
2583,CHAL,Chal de la firma PASSIGATTI  75%  algodón - 15% poliester - 10% metal. (17212120). Antes: 26 € - Ahora: 18.20 €,2017-10-05 13:12:25.887629,2018-04-28 10:49:51.061786,21,4,1,DSCF6561.jpg,image/jpeg,64879,2017-10-05 13:12:23.643834,1,,0,,,
2954,TECHNUM,Maleta-spinner grande de AMERICAN TOURISTER by Samsonite con expandible. (37G001003). Antes: 169 € - Ahora: 135.20 €,2018-03-17 12:37:24.637901,2018-03-17 12:37:24.637901,4,7,3,DSCF7945.jpg,image/jpeg,63546,2018-03-17 12:37:23.488157,1,,0,,,
2857,PLUME BUSINES,"Maletin ordenador 15.6"",en nylon de la marca LIPAULT.",2018-02-09 12:25:16.007961,2018-04-27 11:05:35.139458,50,13,4,DSCF2489.jpg,image/jpeg,67486,2018-02-09 12:25:14.03479,0,,1,,,
2953,TECHNUM,Maleta-spinner mediana de AMERICAN TOURISTER by Samsonite con expandible. (37G001002). Antes: 149 € -Ahora: 119.20 €,2018-03-17 12:30:22.349201,2018-03-17 12:38:19.757146,4,7,3,DSCF7944.jpg,image/jpeg,63174,2018-03-17 12:30:21.372412,1,,0,,,
2698,NILO,"Coleccion Nilo de RIOS. Disponible la billetera, funda de gafas y la pitillera ",2017-11-03 17:15:25.664572,2018-04-04 14:47:42.936301,34,2,1,DSCF2388.jpg,image/jpeg,69957,2017-11-03 17:15:25.030959,0,,1,,,
3029,LUINA,Bolso bandolera en pu de la firma CAMINATTA. (A53625082). Antes: 47 € - Ahora: 32.90 €,2018-04-19 14:43:51.170427,2018-04-19 14:46:23.24623,17,37,1,DSCF8039.jpg,image/jpeg,65424,2018-04-19 14:43:49.876274,1,,0,,,
3030,TAMBORA,Bolso shopping en eco-piel de la firma CAMINATTA. (A2035082OU). Antes: 66 € - Ahora: 39.60 €,2018-04-19 14:47:10.598762,2018-04-19 14:49:31.512818,17,37,1,DSCF8040.jpg,image/jpeg,63483,2018-04-19 14:47:09.323528,1,,0,,,
2887,NEW YORK,Bolso en eco-piel de la firma CAMINATTA con asas y tira larga. (V2519082),2018-03-09 18:49:16.095306,2018-03-09 18:54:04.783364,17,37,1,DSCF7771.jpg,image/jpeg,67072,2018-03-09 18:54:03.293505,0,,1,,,
2888,NEW YORK,Bolso bandolera en eco-piel de la firma CAMINATTA. (V2502082),2018-03-09 18:54:49.947746,2018-03-09 18:56:48.139736,17,37,1,DSCF7773.jpg,image/jpeg,63638,2018-03-09 18:54:47.139972,0,,1,,,
2889,NEW YORK,Bolso hobo en eco-piel de la firma CAMINATTA. (V25218082),2018-03-09 18:57:21.222081,2018-03-09 18:58:42.207252,17,37,1,DSCF7774.jpg,image/jpeg,65391,2018-03-09 18:57:18.950567,0,,1,,,
3015,SAUVAGE,"Mochila piel de ALBERTINI ( AC1666015 ). Disponible también en negro, beis y cuero.",2018-04-13 11:57:07.445528,2018-04-25 15:05:54.99007,54,15,1,DSCF2556.jpg,image/jpeg,63063,2018-04-13 11:57:05.319268,0,,1,,,
2892,BALTIMORE,Bolso-mochila en eco-piel de la firma CAMINATTA. (V1634082),2018-03-09 19:03:38.601271,2018-03-09 20:03:26.764145,17,15,1,DSCF7777.jpg,image/jpeg,65385,2018-03-09 19:03:36.162435,0,,1,,,
3031,VESUBIO,Bolso bandolera en eco-piel de la firma CAMINATTA. (A2172082OU). Antes: 60 € - Ahora: 36 €,2018-04-20 15:30:44.965304,2018-04-20 15:32:11.608175,17,37,1,DSCF8041.jpg,image/jpeg,67291,2018-04-20 15:30:40.625722,1,,0,,,
